Customer_ID,Age,Gender,Item_Purchased,Category,Purchase _Amount_USD,Location,Size,Color,Season,Review_Ratio,Subscription_Status,Discount_Applied,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Age_Bracket,Spending_Tier,Frequency_Tier
13,61,Male,Coat,Outerwear,72,Delaware,Medium,Gold,Winter,4.5,Yes,Yes,37,Venmo,Fortnightly,Pre-Senior Adults,High Spender,Frequent Customer
14,65,Male,Dress,Clothing,51,New Hampshire,Medium,Violet,Spring,4.7,Yes,Yes,31,PayPal,Weekly,Seniors,Moderate Spender,Loyal Customer
15,64,Male,Coat,Outerwear,53,New York,Large,Teal,Winter,4.7,Yes,Yes,34,Debit Card,Weekly,Pre-Senior Adults,Moderate Spender,Loyal Customer
16,64,Male,Skirt,Clothing,81,Rhode Island,Medium,Teal,Winter,2.8,Yes,Yes,8,PayPal,Monthly,Pre-Senior Adults,Premium Spender,Regular Customer
17,25,Male,Sunglasses,Accessories,36,Alabama,Small,Gray,Spring,4.1,Yes,Yes,44,Debit Card,Bi-Weekly,Early Adults,Low Spender,Frequent Customer
18,53,Male,Dress,Clothing,38,Mississippi,Extra Large,Lavender,Winter,4.7,Yes,Yes,36,Venmo,Quarterly,Mature Adults,Low Spender,Occasional Customer
19,52,Male,Sweater,Clothing,48,Montana,Small,Black,Summer,4.6,Yes,Yes,17,Cash,Weekly,Mature Adults,Moderate Spender,Loyal Customer
20,66,Male,Pants,Clothing,90,Rhode Island,Medium,Green,Summer,3.3,Yes,Yes,46,Debit Card,Bi-Weekly,Seniors,Premium Spender,Frequent Customer
21,21,Male,Pants,Clothing,51,Louisiana,Medium,Black,Winter,2.8,Yes,Yes,50,Cash,Every 3 Months,Young Adults,Moderate Spender,Occasional Customer
22,31,Male,Pants,Clothing,62,North Carolina,Medium,Charcoal,Winter,4.1,Yes,Yes,22,Debit Card,Quarterly,Early Adults,High Spender,Occasional Customer
23,56,Male,Pants,Clothing,37,California,Medium,Peach,Summer,3.2,Yes,Yes,32,Debit Card,Annually,Pre-Senior Adults,Low Spender,Rare Customer
24,31,Male,Pants,Clothing,88,Oklahoma,Extra Large,White,Winter,4.4,Yes,Yes,40,Credit Card,Weekly,Early Adults,Premium Spender,Loyal Customer
25,18,Male,Jacket,Outerwear,22,Florida,Medium,Green,Fall,2.9,Yes,Yes,16,Debit Card,Weekly,Young Adults,Low Spender,Loyal Customer
26,18,Male,Hoodie,Clothing,25,Texas,Medium,Silver,Summer,3.6,Yes,Yes,14,PayPal,Annually,Young Adults,Low Spender,Rare Customer
27,38,Male,Jewelry,Accessories,20,Nevada,Medium,Red,Spring,3.6,Yes,Yes,13,Credit Card,Annually,Mid Adults,Low Spender,Rare Customer
28,56,Male,Shorts,Clothing,56,Kentucky,Large,Cyan,Summer,5,Yes,Yes,7,Bank Transfer,Every 3 Months,Pre-Senior Adults,Moderate Spender,Occasional Customer
29,54,Male,Handbag,Accessories,94,North Carolina,Medium,Gray,Fall,4.4,Yes,Yes,41,PayPal,Every 3 Months,Mature Adults,Premium Spender,Occasional Customer
30,31,Male,Dress,Clothing,48,Wyoming,Small,Black,Fall,4.1,Yes,Yes,14,Credit Card,Weekly,Early Adults,Moderate Spender,Loyal Customer
31,57,Male,Jewelry,Accessories,31,North Carolina,Large,Black,Winter,4.7,Yes,Yes,16,Credit Card,Monthly,Pre-Senior Adults,Low Spender,Regular Customer
32,33,Male,Dress,Clothing,79,West Virginia,Large,Brown,Winter,4.7,Yes,Yes,45,Venmo,Monthly,Mid Adults,High Spender,Regular Customer
33,36,Male,Jacket,Outerwear,67,Kansas,Medium,Silver,Summer,4.9,Yes,Yes,37,Venmo,Annually,Mid Adults,High Spender,Rare Customer
34,54,Male,Pants,Clothing,38,Colorado,Large,Green,Summer,3.3,Yes,Yes,45,Cash,Quarterly,Mature Adults,Low Spender,Occasional Customer
35,36,Male,T-shirt,Clothing,91,North Dakota,Large,Violet,Spring,4.6,Yes,Yes,38,PayPal,Quarterly,Mid Adults,Premium Spender,Occasional Customer
36,54,Male,Blouse,Clothing,33,Massachusetts,Medium,Cyan,Summer,4,Yes,Yes,48,Credit Card,Bi-Weekly,Mature Adults,Low Spender,Frequent Customer
37,35,Male,T-shirt,Clothing,69,Illinois,Medium,Maroon,Winter,4.6,Yes,Yes,44,PayPal,Fortnightly,Mid Adults,High Spender,Frequent Customer
38,35,Male,Jeans,Clothing,45,Indiana,Small,Cyan,Summer,2.8,Yes,Yes,10,PayPal,Weekly,Mid Adults,Moderate Spender,Loyal Customer
39,29,Male,Dress,Clothing,37,Florida,Medium,Red,Winter,3.7,Yes,Yes,44,Venmo,Every 3 Months,Early Adults,Low Spender,Occasional Customer
40,70,Male,Pants,Clothing,60,Arizona,Small,Turquoise,Summer,4.2,Yes,Yes,18,Credit Card,Monthly,Seniors,High Spender,Regular Customer
41,69,Male,Handbag,Accessories,76,Louisiana,Large,Beige,Winter,4.6,Yes,Yes,31,Debit Card,Quarterly,Seniors,High Spender,Occasional Customer
42,67,Male,Scarf,Accessories,39,Alaska,Medium,Orange,Spring,4.5,Yes,Yes,40,Venmo,Annually,Seniors,Low Spender,Rare Customer
43,20,Male,Coat,Outerwear,100,Tennessee,Medium,Beige,Spring,4.1,Yes,Yes,15,PayPal,Annually,Young Adults,Premium Spender,Rare Customer
44,25,Male,Scarf,Accessories,69,Ohio,Large,Lavender,Fall,3.7,Yes,Yes,19,PayPal,Fortnightly,Early Adults,High Spender,Frequent Customer
45,39,Male,Hat,Accessories,53,Kentucky,Small,Silver,Summer,4.6,Yes,Yes,45,PayPal,Weekly,Mid Adults,Moderate Spender,Loyal Customer
46,50,Male,Socks,Clothing,21,Tennessee,Extra Large,Indigo,Fall,2.9,Yes,Yes,25,PayPal,Annually,Mature Adults,Low Spender,Rare Customer
47,57,Male,Shirt,Clothing,43,California,Large,White,Summer,2.9,Yes,Yes,45,Cash,Quarterly,Pre-Senior Adults,Moderate Spender,Occasional Customer
48,55,Male,Jewelry,Accessories,54,Montana,Medium,Charcoal,Winter,4.5,Yes,Yes,36,Cash,Weekly,Pre-Senior Adults,Moderate Spender,Loyal Customer
49,42,Male,Shirt,Clothing,55,Nevada,Medium,Orange,Summer,2.7,Yes,Yes,38,Cash,Monthly,Mid Adults,Moderate Spender,Regular Customer
50,68,Male,Hoodie,Clothing,30,New Jersey,Small,Indigo,Spring,4.6,Yes,Yes,34,Debit Card,Bi-Weekly,Seniors,Low Spender,Frequent Customer
51,49,Male,Blouse,Clothing,28,Maryland,Medium,Red,Spring,3.7,Yes,Yes,39,Debit Card,Bi-Weekly,Mature Adults,Low Spender,Frequent Customer
52,59,Male,Skirt,Clothing,59,Vermont,Extra Large,Gray,Winter,4.7,Yes,Yes,7,Credit Card,Quarterly,Pre-Senior Adults,Moderate Spender,Occasional Customer
53,42,Male,T-shirt,Clothing,20,Alaska,Medium,Green,Summer,2.6,Yes,Yes,26,Credit Card,Weekly,Mid Adults,Low Spender,Loyal Customer
54,29,Male,Skirt,Clothing,24,Mississippi,Small,Peach,Winter,3.9,Yes,Yes,35,Credit Card,Weekly,Early Adults,Low Spender,Loyal Customer
55,47,Male,Coat,Outerwear,94,New Mexico,Medium,Brown,Summer,4.2,Yes,Yes,35,Debit Card,Bi-Weekly,Mature Adults,Premium Spender,Frequent Customer
56,40,Male,Jacket,Outerwear,28,South Carolina,Medium,Lavender,Winter,3,Yes,Yes,49,Credit Card,Annually,Mid Adults,Low Spender,Rare Customer
57,41,Male,Backpack,Accessories,73,Mississippi,Extra Large,Brown,Summer,4.7,Yes,Yes,46,Credit Card,Weekly,Mid Adults,High Spender,Loyal Customer
58,21,Male,Coat,Outerwear,64,West Virginia,Medium,White,Summer,4.4,Yes,Yes,17,Debit Card,Fortnightly,Young Adults,High Spender,Frequent Customer
59,69,Male,Hoodie,Clothing,54,Missouri,Medium,Charcoal,Summer,4.2,Yes,Yes,29,Venmo,Monthly,Seniors,Moderate Spender,Regular Customer
60,63,Male,Belt,Accessories,79,Louisiana,Large,Yellow,Spring,4.6,Yes,Yes,4,Debit Card,Weekly,Pre-Senior Adults,High Spender,Loyal Customer
61,50,Male,Sweater,Clothing,37,Idaho,Large,Brown,Summer,4,Yes,Yes,17,Cash,Weekly,Mature Adults,Low Spender,Loyal Customer
62,55,Male,Scarf,Accessories,68,Texas,Medium,Orange,Winter,4.7,Yes,Yes,21,Credit Card,Every 3 Months,Pre-Senior Adults,High Spender,Occasional Customer
63,30,Male,Sneakers,Footwear,21,Mississippi,Small,Magenta,Spring,3.8,Yes,Yes,31,Credit Card,Fortnightly,Early Adults,Low Spender,Frequent Customer
64,33,Male,Sunglasses,Accessories,79,Arizona,Large,Lavender,Winter,2.7,Yes,Yes,43,Credit Card,Weekly,Mid Adults,High Spender,Loyal Customer
65,65,Male,Boots,Footwear,83,Alabama,Small,Green,Fall,4.8,Yes,Yes,18,Debit Card,Fortnightly,Seniors,Premium Spender,Frequent Customer
66,65,Male,Backpack,Accessories,36,New Jersey,Medium,Purple,Spring,4.8,Yes,Yes,44,Venmo,Every 3 Months,Seniors,Low Spender,Occasional Customer
67,31,Male,Blouse,Clothing,94,Pennsylvania,Small,Magenta,Winter,4.7,Yes,Yes,3,Venmo,Every 3 Months,Early Adults,Premium Spender,Occasional Customer
68,45,Male,Coat,Outerwear,33,Connecticut,Large,Gray,Winter,4.4,Yes,Yes,49,Debit Card,Monthly,Mature Adults,Low Spender,Regular Customer
69,57,Male,Handbag,Accessories,46,Utah,Large,Silver,Summer,3.9,Yes,Yes,21,Cash,Every 3 Months,Pre-Senior Adults,Moderate Spender,Occasional Customer
70,48,Male,Belt,Accessories,70,Tennessee,Small,Cyan,Summer,4.4,Yes,Yes,5,Cash,Weekly,Mature Adults,High Spender,Loyal Customer
71,22,Male,Belt,Accessories,29,Alabama,Medium,Magenta,Fall,4.2,Yes,Yes,32,Debit Card,Every 3 Months,Young Adults,Low Spender,Occasional Customer
72,36,Male,Dress,Clothing,48,Virginia,Large,Gold,Summer,2.9,Yes,Yes,34,Bank Transfer,Annually,Mid Adults,Moderate Spender,Rare Customer
73,18,Male,Dress,Clothing,26,Georgia,Medium,Olive,Winter,2.9,Yes,Yes,21,Bank Transfer,Every 3 Months,Young Adults,Low Spender,Occasional Customer
74,48,Male,Pants,Clothing,85,Hawaii,Medium,Teal,Spring,2.7,Yes,Yes,43,Bank Transfer,Bi-Weekly,Mature Adults,Premium Spender,Frequent Customer
75,49,Male,Gloves,Accessories,58,Indiana,Large,Violet,Spring,4.5,Yes,Yes,3,Cash,Monthly,Mature Adults,Moderate Spender,Regular Customer
76,64,Male,Scarf,Accessories,85,Utah,Medium,Blue,Summer,2.7,Yes,Yes,21,Credit Card,Annually,Pre-Senior Adults,Premium Spender,Rare Customer
77,50,Male,Hat,Accessories,43,Delaware,Small,Teal,Summer,4.2,Yes,Yes,32,Venmo,Monthly,Mature Adults,Moderate Spender,Regular Customer
78,22,Male,Dress,Clothing,53,Delaware,Large,Gold,Summer,3.3,Yes,Yes,36,Debit Card,Fortnightly,Young Adults,Moderate Spender,Frequent Customer
79,50,Male,Skirt,Clothing,91,Nebraska,Medium,Maroon,Spring,4.7,Yes,Yes,50,Venmo,Fortnightly,Mature Adults,Premium Spender,Frequent Customer
80,38,Male,Jacket,Outerwear,96,Iowa,Medium,Olive,Winter,2.6,Yes,Yes,43,Bank Transfer,Every 3 Months,Mid Adults,Premium Spender,Occasional Customer
81,19,Male,Sandals,Footwear,72,New York,Extra Large,Blue,Summer,3.3,Yes,Yes,24,Credit Card,Every 3 Months,Young Adults,High Spender,Occasional Customer
82,67,Male,Shoes,Footwear,96,Virginia,Large,Maroon,Summer,2.6,Yes,Yes,36,Credit Card,Every 3 Months,Seniors,Premium Spender,Occasional Customer
83,19,Male,Pants,Clothing,28,Georgia,Small,Olive,Spring,4,Yes,Yes,21,Credit Card,Every 3 Months,Young Adults,Low Spender,Occasional Customer
84,36,Male,Dress,Clothing,40,Texas,Medium,Turquoise,Summer,4.1,Yes,Yes,34,Bank Transfer,Weekly,Mid Adults,Moderate Spender,Loyal Customer
85,52,Male,Coat,Outerwear,32,Arizona,Small,Peach,Spring,4.4,Yes,Yes,42,Bank Transfer,Every 3 Months,Mature Adults,Low Spender,Occasional Customer
86,53,Male,Sunglasses,Accessories,95,New Mexico,Medium,Charcoal,Winter,4.5,Yes,Yes,2,Debit Card,Bi-Weekly,Mature Adults,Premium Spender,Frequent Customer
87,24,Male,Hoodie,Clothing,41,Nevada,Large,Pink,Spring,3.7,Yes,Yes,47,Cash,Bi-Weekly,Young Adults,Moderate Spender,Frequent Customer
88,52,Male,Shoes,Footwear,53,Ohio,Medium,Green,Fall,3.7,Yes,Yes,44,Debit Card,Fortnightly,Mature Adults,Moderate Spender,Frequent Customer
89,33,Male,T-shirt,Clothing,47,Wyoming,Medium,Orange,Fall,3.5,Yes,Yes,35,Credit Card,Monthly,Mid Adults,Moderate Spender,Regular Customer
90,47,Male,Jacket,Outerwear,83,California,Extra Large,Pink,Fall,3.6,Yes,Yes,15,Cash,Quarterly,Mature Adults,Premium Spender,Occasional Customer
91,25,Male,Hat,Accessories,48,South Carolina,Large,Violet,Summer,2.9,Yes,Yes,29,Credit Card,Monthly,Early Adults,Moderate Spender,Regular Customer
92,44,Male,Scarf,Accessories,99,South Carolina,Small,Green,Winter,4.6,Yes,Yes,18,Credit Card,Every 3 Months,Mid Adults,Premium Spender,Occasional Customer
93,61,Male,Jacket,Outerwear,87,Texas,Medium,Olive,Winter,4.4,Yes,Yes,13,Venmo,Every 3 Months,Pre-Senior Adults,Premium Spender,Occasional Customer
94,37,Male,Sweater,Clothing,62,Florida,Medium,Purple,Fall,4.5,Yes,Yes,46,Credit Card,Weekly,Mid Adults,High Spender,Loyal Customer
95,58,Male,Skirt,Clothing,76,Nevada,Small,Silver,Spring,4.6,Yes,Yes,28,Credit Card,Weekly,Pre-Senior Adults,High Spender,Loyal Customer
96,37,Male,Sneakers,Footwear,100,Missouri,Large,Pink,Fall,3.8,Yes,Yes,48,PayPal,Monthly,Mid Adults,Premium Spender,Regular Customer
97,32,Male,Gloves,Accessories,73,Delaware,Small,Gold,Spring,3.6,Yes,Yes,43,Venmo,Every 3 Months,Early Adults,High Spender,Occasional Customer
98,21,Male,Shoes,Footwear,92,Virginia,Medium,Teal,Winter,4.8,Yes,Yes,37,Cash,Annually,Young Adults,Premium Spender,Rare Customer
99,20,Male,Jeans,Clothing,67,New York,Extra Large,Teal,Spring,2.6,Yes,Yes,20,Bank Transfer,Annually,Young Adults,High Spender,Rare Customer
100,26,Male,Hoodie,Clothing,40,Missouri,Extra Large,Indigo,Summer,3.7,Yes,Yes,33,Debit Card,Quarterly,Early Adults,Moderate Spender,Occasional Customer
101,62,Male,Sunglasses,Accessories,98,South Dakota,Medium,Maroon,Fall,2.7,Yes,Yes,31,Cash,Fortnightly,Pre-Senior Adults,Premium Spender,Frequent Customer
102,27,Male,Coat,Outerwear,85,North Dakota,Extra Large,White,Spring,4.6,Yes,Yes,50,Credit Card,Bi-Weekly,Early Adults,Premium Spender,Frequent Customer
103,51,Male,Socks,Clothing,67,Oklahoma,Large,Violet,Winter,4.8,Yes,Yes,35,Credit Card,Quarterly,Mature Adults,High Spender,Occasional Customer
104,54,Male,Boots,Footwear,89,West Virginia,Large,Red,Winter,4,Yes,Yes,22,Venmo,Bi-Weekly,Mature Adults,Premium Spender,Frequent Customer
105,55,Male,Sunglasses,Accessories,24,New Hampshire,Large,Pink,Spring,4.4,Yes,Yes,1,PayPal,Monthly,Pre-Senior Adults,Low Spender,Regular Customer
106,69,Male,Backpack,Accessories,96,New York,Medium,Charcoal,Fall,3.6,Yes,Yes,4,Bank Transfer,Annually,Seniors,Premium Spender,Rare Customer
107,64,Male,Jacket,Outerwear,35,Minnesota,Large,White,Summer,3.7,Yes,Yes,31,Credit Card,Monthly,Pre-Senior Adults,Low Spender,Regular Customer
108,28,Male,Sneakers,Footwear,67,Maryland,Large,Olive,Winter,3.1,Yes,Yes,46,PayPal,Fortnightly,Early Adults,High Spender,Frequent Customer
109,70,Male,Socks,Clothing,79,Montana,Large,Purple,Spring,3.4,Yes,Yes,32,Bank Transfer,Bi-Weekly,Seniors,High Spender,Frequent Customer
110,58,Male,T-shirt,Clothing,85,Alabama,Medium,Violet,Spring,2.6,Yes,Yes,43,Bank Transfer,Fortnightly,Pre-Senior Adults,Premium Spender,Frequent Customer
111,56,Male,Backpack,Accessories,26,New York,Medium,Black,Summer,4,Yes,Yes,26,Venmo,Fortnightly,Pre-Senior Adults,Low Spender,Frequent Customer
112,26,Male,Belt,Accessories,75,Massachusetts,Large,Purple,Summer,5,Yes,Yes,9,Credit Card,Annually,Early Adults,High Spender,Rare Customer
113,37,Male,Gloves,Accessories,65,Florida,Medium,Red,Spring,4.3,Yes,Yes,28,PayPal,Bi-Weekly,Mid Adults,High Spender,Frequent Customer
114,44,Male,Hat,Accessories,54,New Jersey,Large,Maroon,Winter,3.1,Yes,Yes,20,PayPal,Quarterly,Mid Adults,Moderate Spender,Occasional Customer
115,70,Male,Coat,Outerwear,95,Massachusetts,Small,Blue,Summer,3.7,Yes,Yes,9,Cash,Weekly,Seniors,Premium Spender,Loyal Customer
116,53,Male,Skirt,Clothing,94,Wyoming,Medium,Gray,Spring,3.8,Yes,Yes,48,Debit Card,Every 3 Months,Mature Adults,Premium Spender,Occasional Customer
117,55,Male,Shoes,Footwear,86,Virginia,Small,Blue,Spring,3.4,Yes,Yes,12,Venmo,Annually,Pre-Senior Adults,Premium Spender,Rare Customer
118,50,Male,Sandals,Footwear,32,South Dakota,Large,Yellow,Summer,4.6,Yes,Yes,29,Cash,Fortnightly,Mature Adults,Low Spender,Frequent Customer
119,50,Male,Sweater,Clothing,45,Kentucky,Large,Orange,Fall,4.8,Yes,Yes,27,Cash,Bi-Weekly,Mature Adults,Moderate Spender,Frequent Customer
120,38,Male,Coat,Outerwear,76,Wyoming,Medium,Orange,Fall,4.3,Yes,Yes,44,Cash,Annually,Mid Adults,High Spender,Rare Customer
121,64,Male,Hat,Accessories,84,West Virginia,Large,Red,Summer,4,Yes,Yes,32,Bank Transfer,Annually,Pre-Senior Adults,Premium Spender,Rare Customer
122,19,Male,Shorts,Clothing,72,Virginia,Medium,Olive,Winter,4.2,Yes,Yes,11,Cash,Fortnightly,Young Adults,High Spender,Frequent Customer
123,40,Male,Backpack,Accessories,40,Washington,Large,Brown,Spring,4.8,Yes,Yes,44,Cash,Fortnightly,Mid Adults,Moderate Spender,Frequent Customer
124,57,Male,Sweater,Clothing,89,Louisiana,Large,Brown,Fall,3.1,Yes,Yes,46,Cash,Weekly,Pre-Senior Adults,Premium Spender,Loyal Customer
125,44,Male,Sweater,Clothing,86,Nevada,Medium,Gray,Spring,3.1,Yes,Yes,50,PayPal,Annually,Mid Adults,Premium Spender,Rare Customer
126,49,Male,Shorts,Clothing,54,California,Medium,Indigo,Winter,3.6,Yes,Yes,45,Venmo,Every 3 Months,Mature Adults,Moderate Spender,Occasional Customer
127,43,Male,Shorts,Clothing,36,Mississippi,Large,Pink,Spring,3.9,Yes,Yes,48,Cash,Every 3 Months,Mid Adults,Low Spender,Occasional Customer
128,24,Male,Sweater,Clothing,89,Mississippi,Medium,Gray,Winter,4.8,Yes,Yes,26,Credit Card,Weekly,Young Adults,Premium Spender,Loyal Customer
129,20,Male,Scarf,Accessories,32,California,Medium,Gold,Spring,4.7,Yes,Yes,21,Credit Card,Fortnightly,Young Adults,Low Spender,Frequent Customer
130,24,Male,Dress,Clothing,67,Pennsylvania,Extra Large,Olive,Summer,4.2,Yes,Yes,49,PayPal,Bi-Weekly,Young Adults,High Spender,Frequent Customer
131,44,Male,Scarf,Accessories,39,Kentucky,Large,Violet,Fall,3.7,Yes,Yes,13,PayPal,Fortnightly,Mid Adults,Low Spender,Frequent Customer
132,28,Male,Skirt,Clothing,29,Maine,Large,Indigo,Summer,3.9,Yes,Yes,46,Credit Card,Weekly,Early Adults,Low Spender,Loyal Customer
133,30,Male,Backpack,Accessories,58,New Mexico,Medium,Orange,Fall,4.7,Yes,Yes,42,PayPal,Weekly,Early Adults,Moderate Spender,Loyal Customer
134,52,Male,Sweater,Clothing,65,Montana,Medium,Violet,Winter,2.5,Yes,Yes,25,Venmo,Annually,Mature Adults,High Spender,Rare Customer
135,43,Male,Hat,Accessories,94,Texas,Large,Gray,Fall,4.9,Yes,Yes,25,Cash,Monthly,Mid Adults,Premium Spender,Regular Customer
136,43,Male,Sandals,Footwear,81,Kansas,Medium,Purple,Fall,4.1,Yes,Yes,12,PayPal,Quarterly,Mid Adults,Premium Spender,Occasional Customer
137,39,Male,Blouse,Clothing,86,South Carolina,Medium,White,Winter,3.3,Yes,Yes,4,Debit Card,Quarterly,Mid Adults,Premium Spender,Occasional Customer
138,68,Male,Sneakers,Footwear,43,Colorado,Medium,Turquoise,Spring,4.7,Yes,Yes,38,PayPal,Weekly,Seniors,Moderate Spender,Loyal Customer
139,68,Male,Skirt,Clothing,29,Georgia,Medium,Maroon,Winter,4.4,Yes,Yes,42,Bank Transfer,Weekly,Seniors,Low Spender,Loyal Customer
140,49,Male,Coat,Outerwear,95,Florida,Medium,White,Fall,3.8,Yes,Yes,30,Venmo,Annually,Mature Adults,Premium Spender,Rare Customer
141,63,Male,Shirt,Clothing,28,North Carolina,Large,Yellow,Fall,3.9,Yes,Yes,50,Credit Card,Weekly,Pre-Senior Adults,Low Spender,Loyal Customer
142,56,Male,Gloves,Accessories,46,Virginia,Medium,Turquoise,Fall,4.9,Yes,Yes,45,PayPal,Weekly,Pre-Senior Adults,Moderate Spender,Loyal Customer
143,37,Male,Jacket,Outerwear,58,Nebraska,Large,Violet,Fall,3.1,Yes,Yes,33,Credit Card,Fortnightly,Mid Adults,Moderate Spender,Frequent Customer
144,30,Male,Coat,Outerwear,48,Missouri,Medium,Beige,Fall,2.7,Yes,Yes,25,PayPal,Quarterly,Early Adults,Moderate Spender,Occasional Customer
145,19,Male,Shoes,Footwear,43,New Jersey,Medium,Silver,Fall,3.2,Yes,Yes,25,Cash,Monthly,Young Adults,Moderate Spender,Regular Customer
146,24,Male,Jewelry,Accessories,95,Missouri,Medium,Teal,Fall,4.5,Yes,Yes,44,Debit Card,Quarterly,Young Adults,Premium Spender,Occasional Customer
147,52,Male,Skirt,Clothing,30,Colorado,Small,Black,Fall,4,Yes,Yes,21,Venmo,Fortnightly,Mature Adults,Low Spender,Frequent Customer
148,63,Male,Shoes,Footwear,64,Idaho,Medium,Purple,Summer,3.5,Yes,Yes,31,Bank Transfer,Fortnightly,Pre-Senior Adults,High Spender,Frequent Customer
149,37,Male,Gloves,Accessories,90,Wyoming,Medium,Gray,Fall,2.6,Yes,Yes,47,Debit Card,Annually,Mid Adults,Premium Spender,Rare Customer
150,38,Male,Pants,Clothing,76,Delaware,Medium,White,Summer,3.2,Yes,Yes,14,PayPal,Monthly,Mid Adults,High Spender,Regular Customer
151,35,Male,Boots,Footwear,96,California,Large,Cyan,Fall,4.9,Yes,Yes,17,Debit Card,Every 3 Months,Mid Adults,Premium Spender,Occasional Customer
152,28,Male,Sunglasses,Accessories,47,North Dakota,Large,Turquoise,Fall,4.5,Yes,Yes,3,Venmo,Annually,Early Adults,Moderate Spender,Rare Customer
153,30,Male,Shirt,Clothing,85,South Carolina,Small,Brown,Summer,4.3,Yes,Yes,42,Venmo,Annually,Early Adults,Premium Spender,Rare Customer
154,69,Male,Hoodie,Clothing,55,North Carolina,Medium,Maroon,Winter,3.2,Yes,Yes,22,Debit Card,Annually,Seniors,Moderate Spender,Rare Customer
155,41,Male,Dress,Clothing,98,Oklahoma,Medium,Charcoal,Fall,3.6,Yes,Yes,21,Venmo,Quarterly,Mid Adults,Premium Spender,Occasional Customer
156,63,Male,Socks,Clothing,77,Maine,Small,Olive,Spring,4.3,Yes,Yes,21,Bank Transfer,Quarterly,Pre-Senior Adults,High Spender,Occasional Customer
157,35,Male,Shorts,Clothing,26,Missouri,Medium,Lavender,Fall,4,Yes,Yes,40,Debit Card,Annually,Mid Adults,Low Spender,Rare Customer
158,36,Male,Hat,Accessories,68,Vermont,Small,Yellow,Fall,3,Yes,Yes,1,Bank Transfer,Fortnightly,Mid Adults,High Spender,Frequent Customer
159,25,Male,Shirt,Clothing,73,Connecticut,Extra Large,Teal,Fall,4.1,Yes,Yes,50,Bank Transfer,Monthly,Early Adults,High Spender,Regular Customer
160,58,Male,Gloves,Accessories,27,New Hampshire,Medium,Charcoal,Fall,3.8,Yes,Yes,39,Bank Transfer,Every 3 Months,Pre-Senior Adults,Low Spender,Occasional Customer
161,27,Male,Gloves,Accessories,23,Texas,Medium,Orange,Summer,4.6,Yes,Yes,34,Venmo,Monthly,Early Adults,Low Spender,Regular Customer
162,65,Male,Backpack,Accessories,49,North Dakota,Medium,Olive,Fall,3,Yes,Yes,29,Venmo,Fortnightly,Seniors,Moderate Spender,Frequent Customer
163,54,Male,Sunglasses,Accessories,74,California,Medium,Turquoise,Summer,3,Yes,Yes,31,PayPal,Bi-Weekly,Mature Adults,High Spender,Frequent Customer
164,54,Male,Skirt,Clothing,67,Virginia,Medium,Purple,Summer,3.4,Yes,Yes,8,Debit Card,Weekly,Mature Adults,High Spender,Loyal Customer
165,59,Male,Handbag,Accessories,65,Delaware,Small,Purple,Spring,2.6,Yes,Yes,5,Credit Card,Fortnightly,Pre-Senior Adults,High Spender,Frequent Customer
